Object full path in v4, Object full path in v5
pymodaq.utils.config.get_set_pid_path, didnt move
pymodaq.utils.config.get_set_remote_path, didnt move
pymodaq.utils.config.get_set_roi_path, pymodaq_gui.config.get_set_roi_path
pymodaq.utils.config.getitem_recursive, pymodaq_utils.config.getitem_recursive
pymodaq.utils.config.load_system_config_and_update_from_user, pymodaq_utils.config.load_system_config_and_update_from_user
pymodaq.utils.config.recursive_iterable_flattening, pymodaq_utils.config.recursive_iterable_flattening
pymodaq.utils.config.replace_file_extension, pymodaq_utils.config.replace_file_extension
pymodaq.utils.daq_utils.JsonConverter, pymodaq_utils.utils.JsonConverter
pymodaq.utils.daq_utils.PlotColors, pymodaq_utils.utils.PlotColors
pymodaq.utils.daq_utils.caller_name, pymodaq_utils.utils.caller_name
pymodaq.utils.daq_utils.capitalize, pymodaq_utils.utils.capitalize
pymodaq.utils.daq_utils.check_vals_in_iterable, pymodaq_utils.utils.check_vals_in_iterable
pymodaq.utils.daq_utils.copy_preset, didnt move
pymodaq.utils.daq_utils.count_lines, pymodaq_utils.utils.count_lines
pymodaq.utils.daq_utils.decode_data, pymodaq_gui.qt_utils.decode_data
pymodaq.utils.daq_utils.elt_as_first_element, pymodaq_utils.utils.elt_as_first_element
pymodaq.utils.daq_utils.elt_as_first_element_dicts, pymodaq_utils.utils.elt_as_first_element_dicts
pymodaq.utils.daq_utils.ensure_ndarray, pymodaq_utils.utils.ensure_ndarray
pymodaq.utils.daq_utils.find_dict_if_matched_key_val, pymodaq_utils.utils.find_dict_if_matched_key_val
pymodaq.utils.daq_utils.find_object_if_matched_attr_name_val, pymodaq_utils.utils.find_object_if_matched_attr_name_val
pymodaq.utils.daq_utils.find_objects_in_list_from_attr_name_val, pymodaq_utils.utils.find_objects_in_list_from_attr_name_val
pymodaq.utils.daq_utils.get_new_file_name, pymodaq_utils.utils.get_new_file_name
pymodaq.utils.daq_utils.is_64bits, pymodaq_utils.utils.is_64bits
pymodaq.utils.daq_utils.plot_colors, pymodaq_utils.utils.plot_colors
pymodaq.utils.daq_utils.recursive_find_expr_in_files, pymodaq_utils.utils.recursive_find_expr_in_files
pymodaq.utils.daq_utils.recursive_find_files, pymodaq_utils.utils.recursive_find_files
pymodaq.utils.daq_utils.recursive_find_files_extension, pymodaq_utils.utils.recursive_find_files_extension
pymodaq.utils.daq_utils.remove_spaces, pymodaq_utils.utils.remove_spaces
pymodaq.utils.daq_utils.rint, pymodaq_utils.utils.rint
pymodaq.utils.daq_utils.setLocale, pymodaq_gui.qt_utils.setLocale
pymodaq.utils.daq_utils.set_qt_backend, pymodaq_gui.qt_utils.set_qt_backend
pymodaq.utils.daq_utils.timer, pymodaq_utils.utils.timer
pymodaq.utils.daq_utils.uncapitalize, pymodaq_utils.utils.uncapitalize
pymodaq.utils.daq_utils.zeros_aligned, pymodaq_utils.utils.zeros_aligned
pymodaq.utils.data.AxesManagerBase, pymodaq_data.data.AxesManagerBase
